year,month,lat,lon,c_maize,c_beans,c_oil,c_salt,c_food_price_index,inflation_maize,inflation_beans,trust_maize,trust_beans,data_coverage,data_coverage_recent,index_confidence_score,mkt_name_Gulu,mkt_name_Hoima,mkt_name_Jinja,mkt_name_Lira,mkt_name_Market Average,mkt_name_Mbarara,log_c_maize,log_c_beans
0.2924526323485616,-1.2890809109948371,-1.500905916321194,-1.5384293909533153,1000.0,2500.0,-0.06751718362022303,2.4516636752124312,0.9075193040075934,-0.9250685727396337,-0.77799377656439,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.824445930877619
0.2924526323485616,-0.9982366519176081,-1.500905916321194,-1.5384293909533153,1200.0,2500.0,-0.06751718362022303,2.3862802418012126,0.7945211463144144,-0.6919359330489641,-0.77799377656439,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.0909098220799835,7.824445930877619
0.2924526323485616,-0.7073923928403791,-1.500905916321194,-1.5384293909533153,1000.0,2550.0,-0.06751718362022303,2.30309348245915,0.6815229886212345,-1.196924039955716,-0.708588178242649,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.844240718141811
0.2924526323485616,-0.4165481337631501,-1.500905916321194,-1.5384293909533153,1000.0,2200.0,-0.06751718362022303,2.2697089784742936,0.5308587783636614,-1.2812655410042177,-1.1959870428616168,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.696667081526462
0.2924526323485616,-0.12570387468592106,-1.500905916321194,-1.5384293909533153,925.0,2300.0,-0.3925723433716941,1.9620329977399353,0.3801945681060882,-1.243603612863063,-1.0567859271264395,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.8308742346461795,7.741099090035366
0.2924526323485616,0.16514038439130796,-1.500905916321194,-1.5384293909533153,1014.44,2331.34,-0.1296547279583142,1.6674023321883835,0.5308587783636614,-1.200902412646683,-1.01311498885658,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.9230772950799215,7.754627334441574
0.2924526323485616,0.455984643468537,-1.500905916321194,-1.5384293909533153,1006.16,2344.07,-0.1339324538606435,1.8769900913478152,0.5308587783636614,-0.9884573109490422,-0.9951787106386021,0.48169850340634324,0.6606998929310114,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.914889767882737,7.760070531181124
0.2924526323485616,0.7468289025457661,-1.500905916321194,-1.5384293909533153,954.9,2424.23,-0.07521448980313797,1.1816408063131938,0.4555266732348748,-0.9789092164907213,-1.0493774643842313,0.3063939224927112,0.5312323378486276,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.862653305069717,7.793681644234871
0.2924526323485616,1.037673161622995,-1.500905916321194,-1.5384293909533153,936.0,2325.0,-0.06751718362022303,1.1606741875223914,0.4178606206704815,-0.9791744413367859,-0.9148553777493962,0.4232636431017996,0.6606998929310114,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.842683282238422,7.75190533307861
0.2924526323485616,1.3285174207002242,-1.500905916321194,-1.5384293909533153,1000.0,2300.0,-0.06751718362022303,0.9567594411779275,0.3801945681060882,-0.7550594464123082,-0.6723257027149977,0.4232636431017996,0.6606998929310114,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.741099090035366
0.2924526323485616,1.619361679777453,-1.500905916321194,-1.5384293909533153,1025.0,2300.0,-0.06751718362022303,0.5467862293607636,0.3801945681060882,-0.5062785408038348,-0.7351026764779207,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.933423025730715,7.741099090035366
0.46852105386453113,-1.5799251700720662,-1.500905916321194,-1.5384293909533153,1000.0,2300.0,-0.06751718362022303,0.8748798276457656,0.30486246297730163,-0.31292962802283575,-0.6723257027149977,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.741099090035366
0.46852105386453113,-1.2890809109948371,-1.500905916321194,-1.5384293909533153,1000.0,2300.0,-0.2413176764361397,0.8394038903650692,0.26719641041290837,-0.31292962802283575,-0.6723257027149977,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.741099090035366
0.46852105386453113,-0.9982366519176081,-1.500905916321194,-1.5384293909533153,1000.0,2500.0,-0.4228024732285809,0.9550078657926608,0.26719641041290837,-0.7550594464123082,-0.3603904293588583,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.90875477931522,7.824445930877619
0.46852105386453113,-0.7073923928403791,-1.500905916321194,-1.5384293909533153,1075.0,2800.0,-0.7176275031231651,0.6575799082079219,0.30486246297730163,-0.1140109934744828,0.021730280502412564,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,6.98100574072173,7.937731775260109
0.46852105386453113,-0.4165481337631501,-1.500905916321194,-1.5384293909533153,1200.0,2650.0,-0.5269501464129521,1.2246459034589168,0.5685248309280546,0.2175200641061054,0.43699411315777315,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.0909098220799835,7.8826922062890254
0.46852105386453113,-0.12570387468592106,-1.500905916321194,-1.5384293909533153,1300.0,2545.57,-0.5137854124430176,0.8523707767992814,0.5308587783636614,0.7622918979225279,0.05604316057158786,0.5985682240154306,0.7901674480133942,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.170888478512505,7.842502634656846
0.46852105386453113,0.16514038439130796,-1.500905916321194,-1.5384293909533153,1300.0,2800.0,-0.502603514947567,1.5626476669829643,0.5308587783636614,0.4336783136486489,0.4233469449484421,0.7738728049290627,0.9196350030957781,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.170888478512505,7.937731775260109
0.46852105386453113,0.455984643468537,-1.500905916321194,-1.5384293909533153,1550.0,2950.0,-0.7176275031231651,1.428743650216767,0.5308587783636614,1.1206106649556276,0.6475504226731673,0.89074252553815,0.9843687806369694,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.346655163176539,7.989899374942939
0.46852105386453113,0.7468289025457661,-1.500905916321194,-1.5384293909533153,1575.0,3000.0,-0.06751718362022303,1.6354818315106154,0.6438569360568412,1.409440522319836,0.5656674134171806,1.0660471064517822,1.0491025581781608,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.362645270417825,8.006700845440367
0.46852105386453113,1.037673161622995,-1.500905916321194,-1.5384293909533153,1500.0,3000.0,-0.23004476349595857,1.471356603619521,0.5685248309280546,1.285315294361664,0.7715446938322328,1.0660471064517822,1.0491025581781608,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.313886831633462,8.006700845440367
0.46852105386453113,1.3285174207002242,-1.500905916321194,-1.5384293909533153,1425.0,3200.0,-0.7176275031231651,1.1749743626827014,0.3801945681060882,0.8142759677511642,1.165362976444359,1.0660471064517822,1.0491025581781608,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.262628600974241,8.071218539969863
0.46852105386453113,1.619361679777453,-1.500905916321194,-1.5384293909533153,1200.0,3200.0,-0.7176275031231651,1.1279432564424852,0.30486246297730163,0.13980918420921554,1.165362976444359,1.0660471064517822,1.0491025581781608,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.0909098220799835,8.071218539969863
0.6445894753805007,-1.5799251700720662,-1.500905916321194,-1.5384293909533153,1100.0,3200.0,-0.33175452298219377,1.4337892330429822,0.4178606206704815,-0.04770478195836517,1.165362976444359,1.0660471064517822,1.0491025581781608,0.0,1.0658141036401503e-14,-1.1102230246251565e-16,0,0,0,0,0,1,7.00397413672268,8.071218539969863
